name,tier,activation,ranked,description,source
Emergency Vacuum Training,1,Passive,No,Do not count zero-gravity as difficult terrain. Hold breath for rounds equal to twice Brawn. Suffer 2 wounds per round in vacuum.,EOTI
Ensorcelled,1,Active (Incidental),No,If have one rank in magic skill once per encounter add success to next social skill check. Appearance subtly enhanced by magic.,GEPG
Extra Ammo,1,Passive,No,Cannot run out of ammo due to despair. Limited Ammo quality items run out normally.,ACRB; ECRB
Familiar Sky,1,Active (Maneuver),No,Once per session make Hard Knowledge check to reveal current environment type and useful information.,ACRB; ECRB
Finesse,1,Active (Incidental),No,When making Brawl or Melee (Light) check use Agility instead of Brawn.,ROT
Fires of Conviction,1,Passive,No,Must be Gashlai N'orr or have allegiance to Yin Brotherhood Argent Flight or Keleres. Reroll failed fear checks.,EOTI
Forager,1,Passive,No,Remove up to two setbacks from checks to find food water or shelter. Forage checks take half normal time.,GCRB
Former Professor,1,Passive,No,Character gains one Knowledge skill as career skill. Once per session collect small favor from institute member.,SOTB
Grit,1,Passive,Yes,Each rank increases strain threshold by one.,GCRB
Hamstring Shot,1,Active (Action),No,Once per round perform ranged combat check against non-vehicle target. If successful halve damage and immobilize until end of next turn.,GCRB
Hand on The Throttle,1,Active (Incidental),No,Once per round increase or decrease vehicle speed by 1.,EOTI; SOTB
Historical Record,1,Active (Incidental),No,Must be Winnu or have allegiance to Empyrean or Nomad. Once per session succeed on knowledge check with three successes.,EOTI
Hidden Storage,1,Passive,Yes,Gain hidden storage in vehicles or equipment holding items with encumbrance equal to ranks.,ACRB; EBGR; ECRB
Iaijutsu Training,1,Passive,No,First time during encounter drawing Melee weapon increase weapon damage by 2 for remainder of turn.,SOTB
Jump Up,1,Active (Incidental),No,Once per round stand from prone or seated position as incidental.,GCRB
Knack for It,1,Passive,Yes,Select skill. Remove two setbacks from checks using this skill. Cannot select combat or magic skills.,GCRB
Knockout Punch,1,Passive,No,Add Stun quality to Brawl checks with rating equal to two plus ranks in Coordination.,SOTB
Know Somebody,1,Active (Incidental),Yes,Once per session reduce rarity of legal item by one per rank.,GCRB
Knowledge Specialization,1,Passive,Yes,Choose Knowledge skill. Spend triumph to gain additional successes equal to ranks.,ACRB; ECRB; FCRB
Life on the Streets,1,Passive,No,Character gains Skulduggery or Deception as career skill. Spend advantages to heal 3 strain when obtaining wealth.,EOTI
Let's Ride,1,Active (Incidental),No,Once per round mount dismount from vehicle or animal or move position. Suffer no damage from short-range falls.,GCRB
Museum Worthy,1,Active (Action),No,Once per session make Hard Knowledge check to ascertain information about relic ruin or history.,ETU
Net Search,1,Active (Maneuver),No,With Network access upgrade next Knowledge check twice and downgrade its difficulty once. GM spends despair for false information.,SOTB
Nocturnal Upbringing,1,Passive,No,Character gains Perception or Stealth as career skill. Remove setback from checks due to darkness.,EOTI
Null Gravity Adept,1,Passive,No,Character gains Athletics or Coordination as career skill. Spend advantages to heal 3 strain in zero-gravity checks.,EOTI
One with Nature,1,Active (Incidental),No,In wilderness make Simple Survival check instead of Discipline or Cool to recover strain.,GCRB
Painful Blow,1,Active (Incidental),No,Voluntarily increase difficulty by one. If target suffers wounds target suffers 2 strain per maneuver until end of encounter.,ROT
Parry,1,Active (Incidental; Out of Turn),Yes,After melee hit calculated but before soak suffer 3 strain to reduce damage by two plus ranks. Need Melee weapon.,GCRB
Physician,1,Passive,Yes,When making Medicine check target heals 1 additional strain per rank.,FCRB
Precision,1,Active (Incidental),No,When making Brawl or Ranged check use Cunning instead of Brawn and Agility.,ROT
Proper Upbringing,1,Active (Incidental),Yes,In polite company suffer strain to add equal advantages to social check. Cannot exceed ranks.,GCRB
Quick Draw,1,Active (Incidental),No,Once per round draw or holster weapon as incidental. Reduce weapon's Prepare rating by one minimum one.,GCRB
Quick Strike,1,Passive,Yes,Add setback per rank to combat checks against targets not yet acted.,GCRB
Rapid Reaction,1,Active (Incidental; Out of Turn),Yes,Suffer strain to add equal successes to Vigilance or Cool check. Cannot exceed ranks.,GCRB
Rapid Recovery,1,Passive,Yes,When healing strain after encounter heal 1 additional strain per rank.,ABGR; ACRB; ECRB; FBGR; FCRB
Redundant Systems,1,Active (Action),No,Once per session make Easy Mechanics check to harvest components from functioning device to repair broken one.,ACRB; ECRB
Reflect,1,Active (Incidental; Out of Turn),Yes,After ranged hit calculated but before soak suffer 3 strain to reduce damage by two plus ranks. Need Shield.,FBGR; FCRB
Resourceful Mechanic,1,Passive,Yes,When making Mechanics check repair one additional system strain or hull trauma per rank.,SOTB
Sagacious Instruction,1,Passive,No,Character gains Astrocartography or Knowledge skill as career skill. Spend advantages to heal 3 strain when navigating or learning.,EOTI
Second Wind,1,Active (Incidental),Yes,Once per encounter heal strain equal to ranks.,GCRB
Shapeshifter,1,Passive,No,When incapacitated from exceeding strain threshold heal all strain increase Brawn Agility by one reduce Intellect Willpower by one. Deal +1 unarmed damage. Critical 3. Cannot use magic or ranged attacks. Revert after 8 hours or if incapacitated.,ROT
Shield Slam,1,Active (Incidental),No,When attacking minion or rival with shield spend four advantages or triumph to stagger target.,ROT
Signature Vehicle,1,Passive,Yes,Choose starship or vehicle silhouette 3 or lower. Upgrade Mechanics checks on it. Apply to new vehicle if lost or destroyed.,SOT; SM
Skilled Mechanic,1,Passive,Yes,When making repair check repair 1 additional hull trauma or system strain per rank.,EOTI
Smooth Talker,1,Active (Incidental),Yes,Choose one social skill. Spend triumph to gain additional successes equal to ranks.,ACRB; ECRB; FCRB
Solid Repairs,1,Passive,Yes,Repair +1 hull trauma per rank when repairing starship or vehicle.,ABGR; ACRB; ECRB; FCRB
Soothing Tone,1,Active (Action),No,Once per encounter make Average Knowledge check to allow beast recover strain equal to successes.,SOT; SS
Street Fighter,1,Active (Incidental),No,When disorienting or knocking prone with Brawl check cause target to suffer wounds equal to ranks in Skullduggery.,SOTB
Surgeon,1,Passive,Yes,When making Medicine check target heals one additional wound per rank.,GCRB
Subtle,1,Active (Incidental),No,When making social check spend success to convey simple message using body language gestures or double entendres.,EOTI
Swift,1,Passive,No,Do not suffer penalties for moving through difficult terrain. Move through at normal speed.,GCRB
Tavern Brawler,1,Passive,No,Add success to Brawl checks and improvised weapon combat checks.,ROT
Templar,1,Passive,No,Divine is now career skill. Can only cast one spell per encounter.,ROT
Toughened,1,Passive,Yes,Each rank increases wound threshold by two.,GCRB
Tri-Maf Contact,1,Passive,No,Character gains Melee or Skullduggery as career skill. Once per session collect small favor from crime group member.,SOTB
Tumble,1,Active (Incidental),No,Once per round suffer 2 strain to disengage from all engaged adversaries.,ROT
Union Member,1,Passive,No,Character gains Athletics Mechanics or Operating as career skill. Once per session collect favor from labor union member.,SOTB
Unremarkable,1,Passive,No,Other characters add failure to checks to find or identify character in crowd.,GCRB
War Veteran,1,Passive,No,Character gains Athletics or Resilience as career skill. Spend advantages to heal 3 strain after combat.,EOTI
Wheel and Deal,1,Passive,Yes,When selling goods legally gain 10% more currency per rank.,ACRB; ECRB
Where did I put that?,1,Active (Action),No,Once per session make Average Cool check. If successful find one previously lost or left behind item.,EOTI
Worlds War Vet,1,Passive,No,Character gains Ranged (Heavy) or Resilience as career skill. Once per session collect favor from military member.,SOTB
Xenoreader,1,Passive,Yes,Choose one creature category (mammalian aquatic insectoid reptilian anomaly). Add advantages to social checks targeting that category.,EOTI
Years on The Force,1,Passive,No,Character gains Perception or Ranged (Light) as career skill. Once per session collect favor from NAPD or city government member.,SOTB
Adventurer,2,Passive,No,Athletics and Knowledge (Adventuring) are career skills.,ROT
Aethersprite,2,Active (Action),No,Once per encounter with Network access make Average Computers check. Reduce difficulty of further Computers and Skulduggery checks by 1 or succeed automatically.,EOTI
Angle the Shields,2,Active (Action),Yes,While piloting silhouette 4+ starship make Hard Operating check. Starship suffers system strain and removes setback from incoming checks.,EOTI
Animal Expertise (Hunter),2,Passive,Yes,Add setback per rank to beast interaction checks. Add +10 to Critical Injury results per rank.,ECRB; FCRB
Bad Cop,2,Active (Incidental),Yes,Spend advantages from Coercion or Deception check to upgrade ally's subsequent social check targeting same character.,SOTB
Bard,2,Passive,No,Knowledge (Lore) and Verse are career skills.,ROT
Barrage,2,Passive,Yes,Add 1 damage per rank to hit using Ranged (Heavy) or Gunnery at long or extreme range.,ABGR; FIB; EBGR; ECRB
Basic Military Training,2,Passive,No,Athletics Ranged (Heavy) and Resilience are career skills.,GCRB
Beast Wrangler,2,Passive,Yes,Add setback per rank to checks to tame or wrangle creatures.,SOT
Berserk,2,Active (Maneuver),No,Once per encounter add successes and advantages to melee checks. Opponents add success targeting you. Cannot make ranged attacks. Suffer 6 strain at end.,GCRB
Big Guns,2,Passive,No,Encumbrance threshold is 10 plus Brawn. Reduce Cumbersome rating by 1 minimum 3.,SOTB
Blackmail,2,Active (Incidental; Out of Turn),No,When NPC exceeds strain spend Story Point to convince them to perform task.,DA
Block,2,Active (Incidental; Out of Turn),No,Must have Parry talent. While wielding shield use Parry against ranged and melee attacks.,ROT
Blood Sacrifice,2,Active (Incidental),Yes,Must have Dark Insight talent. Before magic check suffer wounds to add equal successes. Cannot exceed ranks.,ROT
Blooded,2,Passive,Yes,Add setback per rank to poison venom toxin checks. Reduce poison duration by 1 round per rank minimum 1.,ACRB; ECRB
Brilliant Casting,2,Active (Incidental),No,Spend Story Point when casting spell to add successes equal to ranks in Knowledge.,GEPG
Bulwark,2,Active (Incidental; Out of Turn),No,Must have Parry talent. While wielding Defensive weapon use Parry against attacks on engaged ally.,ROT
Burly,2,Passive,Yes,Reduce weapon Cumbersome and Encumbrance by ranks minimum 1.,FIB; DC
Called Shot,2,Passive,No,When aiming at specific item or body part do not add setback to check.,EOTI
Chameleon Infiltration,2,Active (Incidental),No,Must be Yssaril or have allegiance. Spend advantages from Stealth check to add to next combat check.,EOTI
Chill of Nordros,2,Active (Incidental),No,Cannot have Flames of Kellos. When casting Attack spell add Ice effect without increasing difficulty. Never add Fire.,ROT
Code Slinger,2,Passive,No,When activating icebreaker can leave one other active. May have two icebreakers active at once.,SOTB
Combat Medicine,2,Active (Incidental),Yes,Before Medicine check add successes equal to ranks to results. Target suffers 2 strain per rank after.,SOTB
Combined Arms,2,Passive,No,While engaged with enemy GM cannot spend despair to cause hit from ally's ranged attack.,EOTI
Command,2,Passive,Yes,Add setback per rank to Leadership checks. Affected targets add setback to Discipline for 24 hours.,ACRB; ECRB; FCRB
Confidence,2,Passive,Yes,Decrease difficulty of fear Discipline checks by 1 per rank minimum Easy.,ACRB; ECRB; FCRB
Containment,2,Passive,Yes,Character and allies within short range spend advantage on failed combat checks to inflict strain per rank. Once per round.,FIB; KTP
Coordinated Assault,2,Active (Maneuver),Yes,Once per turn have allies engaged add success to combat checks until end of next turn. Range increases per rank.,GCRB
Counteroffer,2,Active (Action),No,Once per session choose non-nemesis adversary within medium range. Make opposed Negotiation vs Discipline check. If successful stagger target. Spend triumph to make ally until end of encounter.,GCRB
Cutting Question,2,Active (Incidental),No,Once per encounter when making Coercion check use Deception skill instead.,DA
Daring Aviator,2,Active (Incidental),Yes,Before Driving or Piloting check add help to results to add equal successes. Cannot exceed ranks.,GCRB
Debilitating Shot,2,Active (Incidental),No,Upon successful starship or vehicle weapon attack spend advantages to reduce max speed by 1.,ACRB; ND
Deceptive Taunt,2,Active (Action),No,Once per session make opposed Deception check. If successful adversary must attack character during next turn.,FH
Defensive Stance,2,Active (Maneuver),Yes,Once per round suffer strain up to ranks to upgrade difficulty of melee checks until end of next turn.,GCRB
Defensive Sysops (Improved),2,Active (Incidental),No,Must have Defensive Sysops talent. Instead of setbacks add failure and help to check results.,GCRB
Determined Driver,2,Active (Incidental),No,Spend Story Point to heal system strain on vehicle equal to ranks in appropriate skill.,SOTB
Dirty Tricks,2,Active (Incidental),No,After inflicting Critical Injury upgrade difficulty of adversary's next check.,ROT
Disorient,2,Passive,Yes,After successful combat check spend advantages to disorient target for rounds equal to ranks.,ACRB; ECRB
Distracting Behavior,2,Active (Maneuver),Yes,Make maneuver suffering strain up to Cunning. Until next turn equal NPCs suffer help on checks.,FH
Dominion of the Dimora,2,Active (Incidental),No,Cannot have Favor of the Fae. When casting Attack spell add Impact effect without increasing difficulty. Never add Manipulative.,ROT
Driven to Succeed,2,Active (Incidental),No,Must be Human Winnu or have allegiance. Once per session spend advantages or triumph to move Story Points to players' pool.,EOTI
Dual Wielder,2,Active (Maneuver),No,Once per round decrease difficulty of next combined combat check by one.,GCRB
Dynamic Fire,2,Active (Incidental),No,When making ranged attack while engaged suffer 2 strain to reduce ranged modifier by 1.,ACRB
Encouraging Song,2,Active (Action),No,With musical instrument make Average Charm or Verse check. Each success grants ally setback. Each advantage heals 1 strain.,ROT
Ensorcelled (Improved),2,Passive,No,Must have Ensorcelled talent with two+ ranks in magic skill. Add successes and advantages to next social check. Appearance noticeably enhanced.,GEPG
Exploit,2,Active (Incidental),Yes,When making Ranged or Melee (Light) check suffer 2 strain to add Ensnare quality. Rating equals ranks.,ROT
Fan the Hammer,2,Active (Incidental),No,Once per encounter before pistol combat check add Auto-fire quality. Weapon runs out of ammo.,GCRB
Fancy Paint Job,2,Passive,No,Must have Signature Vehicle talent. Upgrade Charm Deception Negotiation checks in vehicle's presence.,SOT; SM
Favor of the Fae,2,Active (Incidental),No,Cannot have Dominion of the Dimora. When casting Attack spell add Manipulative effect without increasing difficulty. Never add Impact.,ROT
Fearsome,2,Passive,Yes,When adversary becomes engaged force fear check with difficulty equal to ranks.,DC; FCRB
Fine Tuning,2,Passive,Yes,When reducing system strain reduce 1 additional per rank.,ACRB; ECRB; FCRB
Flames of Kellos,2,Active (Incidental),No,Cannot have Chill of Nordros. When casting Attack spell add Fire effect without increasing difficulty. Never add Ice.,ROT
Flash of Insight,2,Passive,No,When knowledge check generates triumph roll two dice and add results in addition to spending triumph.,ROT
Friends in Low Places,2,Active (Action),No,Must be Saar or have allegiance. Once per session on populated world make Easy Streetwise check. Obtain item or service with rarity up to 2x successes.,EOTI
Go Without,2,Active (Incidental),No,Once per session count as having right tools for next check this turn.,DOH
Gunslinger Diplomacy,2,Active (Maneuver),No,If armed conspicuously display weapon and add successes and advantages to next social check.,EOTI
Good Cop,2,Active (Incidental),Yes,Spend advantages from Charm or Negotiation check to upgrade ally's subsequent social check targeting same character.,SOTB
Grapple,2,Active (Incidental),No,Suffer 2 strain to make enemies spend two maneuvers to disengage.,ROT
Hard-Headed,2,Active (Action),Yes,When staggered or disoriented make Daunting Discipline check to remove status. Reduce difficulty per rank.,ACRB; ECRB
Haughty Demeanor,2,Passive,No,Other characters add help to social checks targeting you.,SOTB
Headbutt,2,Active (Incidental),No,Once per encounter suffer two wounds to knock engaged target prone and disorient until end of next round.,KOF
Heightened Awareness,2,Passive,No,Allies within short range add setback to Perception Vigilance checks. Engaged allies add two setbacks.,GCRB
Heroic Recovery,2,Active (Incidental),No,Choose one characteristic. Once per encounter spend Story Point to heal strain equal to characteristic rating.,ROT
Hidden Storage (Improved),2,Passive,No,Use Hidden Storage to store item within modified body via cybernetics surgery or prosthetics.,CAM
Hold Together,2,Active (Incidental; Out of Turn),No,Spend Story Point immediately after vehicle damage to turn it into system strain.,ACRB; ECRB
Hunter,2,Passive,No,Knowledge (Geography) Ranged and Survival are career skills.,ROT
Hunter's Quarry,2,Active (Action),No,Make Hard Survival check to upgrade attacks against target within long range until end of next turn.,ETU; SS
Impaling Strike,2,Active (Incidental),No,When inflicting Critical Injury with melee weapon immobilize target until end of next turn.,ROT
Improvised Defenses,2,Active (Action),No,Make Average Survival check to fashion defenses for 4 characters providing cover. Spend advantages or triumph to increase ranged defense to 2.,FO
Inspiration,2,Active (Maneuver),No,Once per encounter spend Story Point to tell ally to perform task. If know motivation reroll up to three dice.,EOTI
Inspiring Rhetoric,2,Active (Action),No,Make Average Leadership check. Each success heals one ally strain. Each advantage heals one additional.,GCRB
Inventor,2,Active (Incidental),Yes,When constructing items add setback equal to ranks. May attempt to reconstruct devices without plans.,GCRB
Knockdown,2,Passive,No,After melee hit spend triumph to knock target prone.,ABGR; ACRB; EBGR; ECRB
Know the Enemy,2,Passive,No,Use appropriate Knowledge skill when making initiative checks.,DOR
Know-It-All,2,Active (Incidental),No,Once per session perfectly recall important fact as if Story Point spent.,DA
Known Schematic,2,Active (Maneuver),No,Once per session make Hard Knowledge check to gain familiarity with building or ship design.,ACRB; ECRB
Knows the Ropes,2,Passive,No,Add setback per Skullduggery ranks to escape restraint checks. Spend triumph to free allies within short range.,DOR
Leverage,2,Active (Maneuver),No,Once per encounter spend Story Point to target ally within hearing range. If know Flaw or Fear force target to perform action next turn.,EOTI
Long Game,2,Passive,No,Increase agenda benchmarks by 2. When completing agenda double received rewards.,EOTI
Loom,2,Passive,No,When ally makes successful Charm Deception Negotiation check add success per Coercion rank.,DC
Lucky Strike,2,Active (Incidental),No,Choose characteristic. After successful combat check spend Story Point to add damage equal to characteristic ranks.,GCRB
Multiple Opponents,2,Passive,No,Add setback to Brawl and Melee checks when engaged with multiple opponents.,FCRB
Mystic Theurge,2,Passive,No,Choose magic skill as career skill. Can only use once per encounter.,GHC
Natural Communion,2,Passive,No,When casting Conjure spell always add Summon Ally effect without increasing difficulty. Summon natural animals.,ROT
Net Hunter,2,Passive,No,When successfully tracing character during Network encounter gain one additional trace.,SOTB
Overheat,2,Active (Incidental),No,Must be Hylar Gashlai or have allegiance. When making equipment check add successes and advantages. Equipment becomes damaged one step or vehicle suffers 2 strain.,EOTI
Overstocked Ammo,2,Passive,Yes,Must have Signature Vehicle talent. Increase Limited Ammo on mounted weapons by 1 per rank.,SOT
Parkour!,2,Active (Maneuver),No,Once per round suffer 1 strain to move to location within short range. Must have object or path to move along.,SOTB
Physical Training,2,Passive,Yes,Add setback per rank to Athletics and Resilience checks.,ACRB; DOH
Precision Strike,2,Active (Incidental),Yes,When making Brawl or Melee check remove setback per rank from pool and suffer 1 strain per removed setback then add equal successes.,EOTI
Pride and Joy,2,Passive,No,Choose vehicle silhouette 4+. Upgrade social checks while within short range.,DOR
Probing Question,2,Passive,No,If know opponent's Flaw or Fear when inflicting strain with social skill opponent suffers 3 additional strain.,SOTB
Quick Draw (Improved),2,Passive,No,Must have Quick Draw talent. May use Quick Draw twice per round. Reduce prepare rating by 2 minimum 1.,FC
Quick Fix,2,Active (Maneuver),No,Spend Story Point to temporarily repair damaged item. Works without penalty for rounds equal to Mechanics ranks then damaged one additional step.,SOTB
Reckless Charge,2,Active (Incidental),No,After using maneuver to engage suffer 2 strain to add successes and help to next Brawl Melee (Light) or Melee (Heavy) check.,ROT
Reconstruct the Scene,2,Active (Action),No,Make Hard Perception check to identify physical characteristics of person present at scene within 24 hours.,ND; EV
Researcher,2,Passive,Yes,On successful Knowledge check character and allies gain automatic advantage per rank until end of next turn.,DA; LBE
Resist Disarm,2,Active (Incidental; Out of Turn),No,Suffer 2 strain to avoid being disarmed or weapon damaged or destroyed.,FCRB
Runic Lore,2,Passive,No,Knowledge (Lore) and Runes are career skills.,ROT
Scathing Tirade,2,Active (Action),No,Make Average Coercion check. Each success inflicts 1 strain on enemy. Each advantage inflicts 1 additional strain.,GCRB
Selective Detonation,2,Active (Incidental),Yes,With Blast quality weapon spend advantage to exclude 1 target per rank from explosion.,ACRB; DC
Sense Emotions,2,Passive,No,Add setback to all Charm Coercion and Deception checks.,ECRB; FBGR; FCRB
Shapeshifter (Improved),2,Passive,No,Once per session make Hard Discipline check to trigger Shapeshifter or avoid triggering when exceeding strain.,ROT
Shepherding Command,2,Active (Incidental; Out of Turn),No,Must be Xxcha Titan or have allegiance. Once per encounter when ally within short range targeted by attack reduce damage by ranks in Leadership before soak.,EOTI
Shortcut,2,Passive,Yes,During chase add setback per rank to catch or escape checks.,ACRB; ECRB; EV; SS
Side-Step,2,Active (Maneuver),Yes,Once per round suffer strain up to ranks to upgrade ranged attack difficulty until end of next turn.,GCRB
Signature Spell,2,Passive,No,Choose signature spell combination. Reduce difficulty of casting signature spell by one.,ROT
Sneak Attack,2,Passive,No,When making Melee check use Cunning instead of Brawn. Add Cunning to weapon damage.,EOTI
Sound Investments,2,Passive,Yes,At beginning of session receive aurei equal to ranks x 100.,ACRB; EOTI; FH
Speaks Binary,2,Passive,Yes,When directing non-sentient artificial life grant setback per rank on checks.,ABGR; ACRB; ECRB
Special Use Permit,2,Passive,No,Do not treat Ranged (Heavy) weapons as restricted. Can carry without arrest.,SOTB
Stalker,2,Passive,Yes,Add setback per rank to all Stealth and Coordination checks.,ABGR; ACRB; ECRB
Strong Arm,2,Passive,No,Treat thrown weapons as having 1 greater range.,ACRB; EBGR; ECRB
Stunning Blow,2,Active (Incidental),No,While making Melee checks inflict damage as strain instead of wounds. Does not ignore soak.,ACRB; ECRB
Sustained Fire,2,Active (Incidental),Yes,After Ranged check spend advantages or triumph to add successes per rank to same target until end of encounter.,EOTI
Tactical Focus,2,Passive,No,When making Ranged (Heavy) check if did not ready or stow weapon this turn add success.,SOTB
Technical Aptitude,2,Passive,No,When making Computer check spend advantages or triumph to reduce time by 50%.,ACRB; ECRB; FCRB
Templar (Improved),2,Passive,No,Must have Templar talent. When casting Divine spell do not add setback for heavy armor shield or no free hand.,ROT
Threaten,2,Active (Incidental; Out of Turn),Yes,After adversary within short range damages ally suffer 3 strain to inflict strain equal to Coercion ranks. Range increases per rank.,ROT
Time to Go,2,Active (Maneuver),No,Spend Story Point to perform Move maneuver as incidental to move into cover or blast range.,ACRB; DC
Tinkerer,2,Passive,Yes,Add 1 hard point to items equal to ranks. Each item modified once.,ACRB; ECRB; KTP
Touch of Fate,2,Active (Incidental),No,Once per session add two setbacks to any check.,ACRB; ECRB; FCRB
Two-Handed Stance,2,Passive,No,When making Ranged (Light) check with nothing in other hand add success.,SOTB
Unarmed Parry,2,Passive,No,May Parry while unarmed. Reduce strain cost to 1 minimum. May use for Reflect vs thrown weapons per GM.,ND
Uncanny Senses,2,Passive,Yes,Add setback per rank to all Perception and Vigilance checks.,ACRB; ECRB; FCRB
Undercity Contacts,2,Active (Incidental),No,Once per session spend Story Point to learn if target character is in New Angeles and location.,SOTB
Vehicle Combat Training,2,Passive,No,Gunnery and Driving become career skills.,ACRB
Well Read,2,Passive,No,Choose any 3 Knowledge skills. Permanently become career skills.,LBE
Well-Travelled,2,Passive,No,Knowledge (Geography) Negotiation and Vigilance are career skills.,ROT
Wraithbane,2,Passive,No,Count weapon's Critical rating as one lower minimum 1 against undead.,ROT
Aethersprite (Improved),3,Active (Maneuver),No,Must have Aethersprite talent. Spend Story Point to make self and 5 allies invisible to electronic sensors for rounds equal to Computers ranks.,EOTI
Alchemical Arts,3,Active (Incidental),Yes,After poison crafting check suffer strain up to 2x ranks. For every 2 strain add successes and advantages.,UP
Ambush,3,Active (Maneuver),No,Once per round while benefiting from cover add damage equal to Stealth skill to successful combat check.,FIB
Animal Companion,3,Passive,Yes,Bond with silhouette 0 animal. Bond persists as chosen. Animal follows and acts per direction. Silhouette increases per rank.,GCRB
Applied Research,3,Active (Incidental),Yes,Before knowledge check use Intellect instead of required skill and characteristic. Use per session equal to ranks.,SOTB
Armor Master (Improved),3,Passive,No,Must have Armor Master talent. When wearing armor with +2 soak increase defense by 1.,ACRB; ECRB; KTP
Backstab,3,Active (Action),No,Attack unaware adversary with Melee (Light) using Skullduggery skill. Each uncanceled success adds +2 damage.,ROT
Bad Habit,3,Active (Maneuver),No,Become disoriented for remainder of encounter. At start of each turn heal 2 strain if disoriented.,SOTB
Bad Press,3,Active (Action),No,Once per session make Hard Deception check. Organization members strain thresholds reduced by 1 plus 1 per success until session end.,DA
Barrel Roll,3,Active (Incidental; Out of Turn),No,While piloting silhouette 3 or less starfighter when hit suffered make check. Vehicle suffers 3 system strain to reduce damage by Piloting ranks.,GCRB
Battle Casting,3,Passive,No,Do not add setback to magic checks for heavy armor shield or no free hand.,ROT
Blind Spot,3,Passive,No,Character and allies within short range add automatic advantage to combat checks while benefiting from cover.,FIB; KTP
